p01,p03,p05,p07,p09,p10,p12,p14,p15,p16,p17,p20,p21,p23,p24,p25,p27,p28,p29,p31,p32,p33,p35,p37,p38,p39,p40,p41,p42,p43,p44,p45,p47,p48,p49,p50,p53,p54,p55,p56,p57,p58,p59,p60,p61,p63,p64,p66,p67,p69,p70,p71,p72,p75,p77,p78,p79,p80,p81,p83,p85,p86,p87,p88,p89,p90,p91,p92,p95,p96,p97,p99,p100,p101,p102,p103,p105,p106,p108,p110,p111,p114,p115,p116,p119,p120,p121,p122,p123,p124,p126,p127,p128,p130,p131,p133,p134,p135,p136,p137,p138,p141,p144,p146,p148,p149,p150,class
0,0,217,252,159,249,0,252,0,0,0,0,0,0,98,0,252,103,0,0,0,0,0,252,0,211,12,0,0,0,0,0,0,0,0,0,23,0,0,6,0,0,70,0,0,0,252,196,160,235,0,0,0,0,0,0,90,0,252,252,53,32,47,0,193,252,0,252,0,0,0,0,0,0,65,0,0,0,0,0,2,254,0,252,0,252,254,0,232,252,52,0,0,0,0,242,138,0,252,13,0,0,0,0,252,252,248,0
0,0,253,213,0,253,254,213,0,0,0,0,0,0,0,0,253,0,0,0,253,0,0,253,253,254,226,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,253,0,0,0,253,0,253,254,0,0,0,0,0,0,25,0,253,0,54,0,0,0,253,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,95,0,0,0,253,0,54,253,0,0,0,0,0,0,0,0,0,253,0,0,124,0,0,253,0,187,0
0,0,0,45,254,76,0,0,0,0,0,0,96,0,241,0,232,250,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,167,93,0,0,250,177,0,0,0,204,0,0,0,0,253,0,253,253,0,239,177,0,0,240,0,225,0,0,234,0,0,0,166,0,0,0,0,0,0,0,0,214,0,35,176,0,253,65,0,0,0,0,0,31,0,250,0,0,0,0,0,0,213,179,30,0
0,0,254,254,5,253,106,233,0,0,0,0,0,0,0,0,253,0,0,0,7,0,0,215,234,219,0,0,0,0,0,0,0,0,95,0,96,0,0,0,0,0,0,0,0,0,47,229,34,149,0,0,0,0,0,0,0,0,152,139,253,0,119,0,206,255,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,219,0,34,47,0,0,254,0,0,0,0,0,0,253,0,254,47,0,0,0,0,255,46,14,0
0,0,253,253,0,253,253,253,0,0,0,0,0,0,156,0,253,251,0,0,124,0,0,253,253,253,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,253,251,231,106,0,43,0,0,0,0,220,0,253,118,253,0,126,0,182,253,0,253,0,0,0,0,0,0,117,0,0,0,0,0,0,154,0,253,0,253,215,0,38,253,0,0,0,0,0,253,112,0,253,0,0,0,0,0,253,253,253,0
0,0,183,123,0,223,254,252,0,0,0,0,0,0,0,253,254,0,0,0,253,0,0,254,253,0,253,0,0,0,0,0,0,0,203,0,183,0,20,0,0,0,0,0,0,0,253,0,0,51,203,0,0,0,0,0,10,0,252,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,62,0,92,0,0,0,0,0,0,0,0,253,0,0,0,0,0,41,0,102,0
0,0,68,0,0,80,155,253,0,0,0,0,253,0,0,0,238,253,0,0,253,0,0,253,230,168,207,0,0,0,0,253,0,0,0,0,253,0,0,0,0,0,239,92,0,0,253,253,44,0,0,0,0,0,0,0,253,0,253,146,253,0,253,0,70,80,0,0,0,0,139,19,0,0,0,0,0,0,0,0,93,101,70,247,0,253,0,253,253,0,0,0,0,0,0,145,0,226,253,0,0,169,0,0,253,0,253,0
0,0,0,98,0,143,24,177,0,0,0,0,0,0,254,0,254,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,112,0,0,0,0,254,100,0,0,0,0,0,0,0,0,0,13,108,254,6,254,0,130,160,0,148,0,0,19,0,0,0,214,0,0,0,0,0,2,61,0,236,0,124,108,0,175,254,14,0,0,0,4,166,203,105,254,4,0,0,0,0,254,254,0,0
0,0,251,0,0,85,254,251,0,0,0,0,0,0,0,0,254,226,0,0,253,0,0,254,253,253,253,0,0,0,0,0,0,0,84,0,168,0,0,0,0,0,85,0,0,0,253,197,0,0,0,0,0,0,0,0,251,0,251,57,251,0,85,0,0,253,0,169,0,0,0,0,0,0,0,0,0,0,0,0,86,255,196,253,0,251,0,253,255,254,0,0,0,0,0,253,0,0,253,0,0,0,0,0,251,0,251,0
0,0,0,103,81,211,0,0,0,0,0,0,253,0,162,0,249,224,0,0,0,0,0,173,0,242,18,0,0,0,0,135,60,0,0,192,0,0,0,13,0,0,37,253,0,0,253,253,0,0,0,253,0,0,0,0,253,0,253,253,65,154,253,0,0,178,0,252,0,0,67,0,0,0,92,0,0,0,0,0,0,227,0,253,0,253,255,0,250,13,0,0,0,0,0,4,0,216,0,0,0,0,0,0,253,119,128,0
0,0,253,0,0,0,253,214,0,0,0,0,3,0,0,0,11,127,0,0,54,0,0,169,252,252,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,218,0,115,0,0,0,0,91,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,37,0,244,0,0,0,225,0,0,0,0,0,108,0,0,28,0,0,0,0,0,0,6,253,0
0,0,138,0,0,0,254,254,0,0,0,0,0,0,65,69,243,180,0,0,254,0,0,254,244,167,194,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,10,0,0,0,254,0,0,0,0,0,0,0,0,0,95,0,254,0,92,0,0,0,0,152,0,214,0,0,0,250,0,0,0,0,0,0,0,0,0,170,0,0,0,254,0,118,228,7,0,0,0,0,0,208,0,0,234,0,0,0,0,0,254,254,223,1
0,0,254,254,0,241,248,255,0,0,0,0,0,0,147,0,253,27,0,0,0,0,0,232,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,148,0,0,0,0,0,0,0,0,243,66,253,0,191,0,0,66,0,238,0,0,0,0,0,0,147,0,0,7,0,0,0,148,0,253,0,253,43,0,11,254,111,0,0,0,0,186,253,0,219,196,0,0,0,0,238,227,200,0
0,0,254,254,58,254,132,211,0,0,0,0,0,0,164,0,117,0,0,0,0,0,0,131,254,139,0,0,0,0,0,0,0,0,135,0,7,0,0,0,0,0,0,0,0,0,254,254,230,0,0,0,0,0,0,0,0,0,0,212,254,0,127,0,254,254,0,218,0,0,0,0,0,0,60,0,0,192,26,0,0,0,32,238,0,85,252,0,0,117,0,0,0,0,0,136,106,0,250,0,0,0,0,0,143,250,22,0
0,0,253,252,0,252,252,252,0,0,0,0,0,0,0,35,252,62,0,0,0,0,0,222,252,252,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,253,175,252,253,252,0,0,0,0,0,0,0,119,140,252,0,145,0,253,252,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,252,0,253,73,0,120,252,41,0,0,0,0,252,252,0,252,252,0,0,0,0,252,215,252,0
0,0,102,0,0,0,159,254,0,0,0,0,91,0,0,0,101,60,0,0,253,0,0,137,247,48,248,0,0,0,0,70,0,0,0,0,142,0,0,0,0,0,253,0,0,0,254,0,0,0,0,0,0,0,0,0,186,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,35,0,0,0,0,152,222,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,103,0,0,0
0,0,253,180,0,220,253,253,0,0,0,0,58,0,0,0,195,48,0,0,19,0,0,222,253,253,203,0,0,0,0,56,0,0,214,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,133,0,0,0,0,0,152,0,234,0,21,0,0,0,0,253,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,80,0,253,0,0,10,253,0,0,0,0,0,73,0,0,158,0,0,0,0,0,19,106,239,0
0,0,253,77,0,253,254,253,0,0,0,0,0,0,0,0,253,12,0,0,253,0,0,237,253,244,0,0,0,0,0,0,0,0,169,0,223,0,0,0,0,0,0,0,0,0,0,0,198,167,0,0,0,0,0,0,0,0,193,0,119,0,0,0,226,218,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,94,23,253,0,21,0,188,0,253,0,0,0,0,0,0,253,0,253,25,0,28,0,0,254,24,253,0
0,0,207,253,0,252,255,0,0,0,0,0,0,0,0,112,252,0,0,0,165,0,0,0,252,16,252,0,0,0,0,0,0,0,253,0,127,0,0,0,0,0,0,0,0,0,252,0,255,253,223,0,0,0,0,0,0,0,0,0,0,0,0,0,252,253,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,253,169,0,0,0,252,0,253,0,0,0,0,0,0,0,0,0,0,0,252,0,0,253,0,252,0
0,0,0,25,0,56,0,0,0,0,0,0,0,0,0,62,254,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,254,0,193,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,218,48,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,220,149,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,150,0,0,254,0,0,0
0,0,253,0,0,16,253,253,0,0,0,0,0,0,110,0,251,62,0,0,251,0,0,251,251,251,0,0,0,0,0,0,0,0,159,0,8,0,0,0,0,0,0,0,0,0,230,205,253,0,0,0,0,0,0,0,15,0,156,191,251,0,32,0,228,251,0,251,0,0,0,0,0,0,4,0,0,0,0,0,0,195,230,251,0,251,96,27,16,251,0,0,0,0,0,251,32,0,253,0,0,0,0,0,251,251,211,0
0,0,148,0,0,0,253,253,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,253,134,227,253,0,0,0,202,0,0,0,0,0,253,0,159,0,0,0,79,0,129,0,252,241,253,0,0,0,0,0,0,0,123,0,253,0,253,0,208,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,241,0,253,0,59,217,0,0,0,0,0,0,253,0,33,253,0,0,253,0,0,253,0,253,1
0,0,253,78,207,221,88,253,0,0,0,0,0,0,189,0,66,108,0,0,99,0,0,253,247,253,56,0,0,0,0,0,0,0,96,2,35,0,0,6,0,0,0,0,0,0,253,253,253,0,5,0,0,0,0,0,47,0,132,254,253,115,253,0,253,253,0,253,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,253,0,253,254,0,5,66,0,0,0,0,0,253,0,57,253,0,0,0,0,0,253,253,25,0
0,0,253,253,0,251,243,236,0,0,0,0,0,0,0,0,253,112,0,0,0,0,0,253,238,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,156,0,0,0,0,0,0,86,0,253,0,200,0,0,0,0,168,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,253,0,203,0,0,0,253,0,0,0,0,0,245,14,0,58,0,0,0,0,0,178,247,162,0
0,0,75,105,0,241,234,253,0,0,0,0,205,0,0,0,130,253,0,0,253,0,0,253,102,253,253,0,0,0,0,127,0,0,0,0,237,0,0,0,0,0,79,3,0,0,253,253,164,5,0,3,0,0,0,0,242,0,253,198,253,0,227,0,97,21,0,3,0,0,207,0,0,0,0,0,0,0,0,0,0,254,104,133,0,253,0,236,231,0,0,0,0,0,0,8,0,125,253,0,0,18,0,0,253,0,253,0
0,0,249,0,0,0,254,0,0,0,0,0,0,0,184,0,128,0,0,0,0,0,253,0,253,222,0,0,0,0,0,0,0,0,44,0,253,0,0,67,0,0,0,0,0,0,253,9,253,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,253,253,0,198,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,253,0,43,72,0,0,208,253,0,0,0,173,0,68,0,26,0,0,160,0,0,75,163,253,0
0,0,254,119,0,236,254,16,0,0,0,0,0,0,0,0,254,0,0,0,254,0,0,106,254,235,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,30,0,0,20,0,0,0,0,0,0,0,0,128,0,34,0,0,0,50,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,70,0,53,0,22,0,214,0,0,0,0,0,0,0,0,228,0,0,0,0,0,254,0,254,0
0,0,204,254,6,254,99,155,0,0,0,0,254,0,171,0,0,254,0,0,0,0,0,76,40,254,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,254,0,0,0,4,0,0,0,0,254,0,0,210,254,0,204,0,0,0,0,109,0,0,5,0,0,0,171,0,0,172,0,0,0,0,0,186,0,254,233,0,37,0,190,0,0,0,0,254,254,47,6,254,0,0,0,0,0,254,0,0
0,0,253,253,0,253,253,55,0,0,0,0,0,0,0,0,253,0,0,0,73,0,0,89,253,203,0,0,0,0,0,0,0,0,193,0,96,0,0,0,0,0,0,0,0,0,25,21,125,0,0,0,0,0,0,0,0,0,144,18,212,0,0,0,222,240,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,253,0,68,3,0,0,253,144,0,0,0,0,0,253,0,242,145,0,0,0,0,254,24,72,0
0,0,53,254,0,244,59,0,0,0,0,0,0,0,9,101,107,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,240,43,0,102,0,0,0,0,0,0,96,0,0,0,0,0,0,0,222,58,0,0,0,0,0,254,166,0,0,0,0,0,209,0,5,253,0,0,0,0,0,61,235,0
0,0,138,198,0,253,254,251,0,0,0,0,0,0,0,0,254,0,0,0,139,0,0,169,196,28,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,253,57,251,85,0,0,0,0,0,0,0,0,138,0,224,0,0,0,253,253,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,253,0,251,0,0,86,254,0,0,0,0,0,0,168,0,253,0,0,197,0,0,251,251,251,0
0,0,220,0,253,0,0,0,254,0,0,0,156,0,130,0,253,223,0,0,2,0,0,53,0,253,0,0,0,0,0,17,0,0,47,0,0,0,0,0,0,0,18,158,0,0,47,0,0,0,0,216,0,0,0,0,253,0,247,118,0,0,111,0,0,253,0,253,0,0,0,0,0,0,7,0,0,21,254,0,0,0,99,0,0,253,218,0,253,244,0,0,0,0,0,135,73,245,0,0,0,0,0,0,183,253,0,0
0,0,228,25,0,181,253,253,0,0,0,0,0,0,0,0,252,252,0,0,227,0,0,252,201,252,141,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,249,56,0,0,253,252,253,0,0,129,0,0,0,0,195,0,252,226,252,0,252,0,252,227,0,181,0,0,252,0,0,0,0,0,0,0,0,0,101,255,0,252,0,252,0,0,252,126,0,0,0,0,0,252,0,253,253,0,0,0,0,0,252,195,252,0
0,0,30,3,0,173,190,214,0,0,0,0,33,0,0,0,254,215,0,0,115,0,0,214,28,148,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,3,0,0,0,144,143,0,0,0,0,0,0,0,0,254,0,251,0,254,0,47,0,0,254,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,143,0,254,0,0,121,150,0,0,0,0,0,218,0,16,32,0,0,0,0,0,143,110,250,0
0,0,10,82,0,253,254,223,0,0,0,0,81,0,0,0,173,183,0,0,31,0,0,214,61,81,253,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,62,0,0,0,204,51,0,0,0,0,0,0,0,0,212,0,243,0,252,0,52,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,212,0,0,214,0,0,0,0,0,0,122,0,123,21,0,0,0,0,0,102,50,61,0
0,0,254,0,0,21,222,254,0,0,0,0,0,0,214,206,254,11,0,0,120,0,0,219,254,254,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,254,0,0,0,0,0,0,0,64,141,254,0,34,0,0,197,0,254,0,0,0,9,0,0,130,0,0,162,0,0,0,0,254,147,0,180,231,0,0,254,0,0,0,0,0,242,254,0,236,254,0,0,0,0,251,254,3,0
0,0,251,0,0,0,253,253,0,0,0,0,0,0,0,16,0,253,0,0,164,0,0,253,252,253,253,0,0,0,41,0,0,0,0,0,3,0,252,0,0,0,2,14,255,0,253,0,253,0,0,59,0,0,0,0,192,0,253,0,189,0,0,0,66,114,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,253,0,200,0,253,0,253,48,0,0,0,0,0,0,253,0,0,253,0,0,5,0,0,253,151,253,1
0,0,254,0,204,0,0,201,31,0,0,0,0,0,34,22,0,0,0,0,0,0,0,89,13,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,254,82,254,0,254,0,0,0,0,0,0,0,0,88,0,0,243,0,176,92,0,254,0,0,0,11,0,0,0,0,0,152,102,0,0,0,254,0,0,0,232,0,0,0,0,0,0,0,0,225,54,39,254,0,0,0,0,0,0,254,0,0
0,0,13,224,116,252,0,0,0,0,0,0,252,0,252,0,252,246,0,0,0,0,4,0,0,253,0,0,0,0,0,253,0,0,0,25,0,0,0,139,0,0,7,253,0,0,150,253,0,0,0,241,0,0,0,0,253,0,13,252,140,139,252,0,0,254,0,228,0,0,253,0,0,0,252,0,0,0,0,0,0,0,0,253,0,252,141,0,187,203,28,0,0,0,53,254,0,253,0,0,0,0,0,0,19,253,203,0
0,0,0,191,0,252,147,0,0,0,0,0,252,0,0,0,163,199,0,0,0,0,0,0,0,0,212,0,0,0,0,252,11,0,0,0,0,0,0,0,0,0,237,253,0,0,253,252,0,0,0,252,0,0,0,0,202,0,127,85,252,0,252,0,0,62,0,252,0,0,252,0,0,0,0,0,0,0,0,0,32,193,0,232,0,7,0,0,252,0,0,0,0,0,0,252,0,253,0,0,0,0,0,0,144,252,252,0
0,0,252,212,0,203,253,252,0,0,0,0,0,0,252,252,252,252,0,0,253,0,0,253,252,32,0,0,0,0,0,0,0,0,252,0,0,0,11,0,0,0,0,0,0,0,232,224,116,0,253,32,0,0,0,0,206,0,252,70,252,0,100,0,0,253,0,122,0,0,0,252,0,0,201,0,0,233,0,0,0,0,252,252,0,0,219,252,0,253,227,0,0,0,0,252,0,0,218,92,0,0,0,0,253,224,252,0
0,0,253,66,133,97,0,239,0,0,0,0,0,0,186,0,252,126,0,0,34,0,0,253,70,21,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,32,0,218,253,67,0,252,0,0,192,0,97,0,0,0,0,0,0,116,0,0,187,86,0,0,0,82,0,0,0,253,59,0,212,0,0,0,0,0,230,95,0,104,21,0,0,0,0,210,110,0,0
0,0,250,0,0,0,19,253,0,0,0,0,0,0,0,16,0,189,0,0,0,0,0,253,254,254,45,0,0,0,0,0,0,0,0,0,100,0,253,0,0,0,0,0,182,0,0,0,153,0,0,0,0,0,0,0,62,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,204,0,0,0,0,0,0,0,0,0,182,0,0,238,0,0,54,0,0,168,0,0,1
0,0,0,0,0,0,252,252,0,0,0,0,0,0,0,89,0,252,0,0,0,0,0,252,0,0,253,0,0,0,212,0,0,0,0,0,194,0,45,0,0,0,236,63,76,0,5,0,252,0,0,0,0,0,0,0,189,0,211,0,207,0,0,0,47,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,24,231,0,0,0,0,0,0,207,0,207,252,0,0,65,0,0,128,0,0,1
0,0,252,146,0,234,252,252,0,0,0,0,19,0,249,0,252,253,0,0,252,0,0,253,223,252,0,0,0,0,0,0,0,0,253,87,0,0,0,100,0,0,0,15,0,0,0,234,0,0,141,15,0,0,0,0,195,0,252,163,252,112,197,0,0,252,0,253,0,0,32,24,0,0,225,0,0,0,0,0,0,0,252,252,0,252,0,37,76,252,13,0,0,0,0,252,252,107,227,206,0,0,0,0,252,252,252,0
0,0,0,26,0,208,61,0,0,0,0,0,253,0,0,0,253,132,0,0,14,0,0,0,0,107,7,0,0,0,0,205,0,0,18,0,0,0,0,0,0,0,152,251,0,0,233,253,0,0,24,251,0,0,0,0,167,0,8,200,253,0,159,0,0,251,0,134,0,0,193,90,0,0,0,0,0,0,0,0,0,0,193,253,0,146,0,0,253,111,0,0,0,0,0,253,0,247,0,0,0,0,0,0,1,201,253,0
0,0,210,0,0,205,235,254,0,0,0,0,39,0,0,0,248,37,0,0,254,0,0,223,248,254,254,0,0,0,0,0,0,0,254,0,254,0,0,0,0,0,232,0,0,0,254,0,0,0,39,0,0,0,0,0,208,0,254,0,0,0,0,0,0,94,0,0,0,0,0,37,0,0,0,0,0,0,0,0,65,225,254,0,0,159,0,254,254,0,0,0,0,0,0,0,0,0,177,0,0,150,0,0,254,0,236,0
0,0,0,156,253,252,0,0,0,0,0,0,252,0,210,0,237,236,0,0,0,0,0,0,0,252,0,0,0,0,0,252,5,0,247,0,0,0,0,14,0,0,148,239,0,0,0,252,0,0,254,253,0,0,0,0,232,0,29,252,84,51,252,0,0,252,0,129,0,0,252,224,0,0,102,0,0,0,0,0,0,0,53,223,0,252,253,0,252,249,0,0,0,0,0,247,0,252,0,0,0,0,0,0,0,232,0,0
0,0,65,0,0,122,253,252,0,0,0,0,0,0,0,0,0,25,0,0,252,0,0,254,118,25,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,101,0,0,0,0,0,0,0,0,0,103,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,141,0,0,0,252,0,0,215,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,94,0,0,0
0,0,0,254,254,254,0,7,147,0,0,0,247,0,146,0,254,254,0,0,0,0,0,85,0,37,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,227,0,0,207,120,0,35,0,183,0,0,0,0,254,0,167,249,0,0,233,0,0,254,0,250,0,0,189,0,0,0,59,0,0,22,147,0,0,246,0,228,0,226,254,0,90,217,13,0,0,0,0,254,3,254,0,0,0,0,0,0,141,254,25,0
0,0,101,107,0,107,101,253,0,0,0,0,0,0,253,0,253,175,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,8,253,57,101,0,0,0,0,0,0,48,0,253,154,253,99,253,0,0,253,0,8,0,0,15,0,0,0,253,0,0,0,0,0,0,0,0,253,0,217,101,0,0,253,253,0,0,0,201,252,253,93,249,254,0,0,0,0,253,253,151,0
