"p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p49","p50","p51","p52","p53","p54","p55","p56","p57","p58","p59","p60","p61","p62","p63","p64","p65","p66","p67","p68","p69","p70","p71","p72","p73","p74","p75","p76","p77","p78","p79","p80","p81","p82","p83","p84","p85","p86","p87","p88","p89","p90","p91","p92","p93","p94","p95","p96","p97","p98","p99","p100","p101","p102","p103","p104","p105","p106","p107","p108","p109","p110","p111","p112","p113","p114","p115","p116","p117","p118","p119","p120","p121","p122","p123","p124","p125","p126","p127","p128","p129","p130","p131","p132","p133","p134","p135","p136","p137","p138","p139","p140","p141","p142","p143","p144","p145","p146","p147","p148","p149","p150","class"
0,0,0,0,217,0,252,0,159,249,0,0,0,252,0,0,0,0,0,0,0,0,0,98,0,0,252,103,0,0,0,0,0,0,0,0,252,0,211,12,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,6,0,0,70,0,0,0,0,252,0,196,160,0,235,0,0,0,0,0,0,0,0,0,90,0,252,0,252,0,53,32,47,0,193,252,0,252,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,2,0,0,254,0,252,0,0,0,252,254,0,232,252,0,52,0,0,0,0,0,0,242,138,0,252,13,0,0,0,0,0,0,0,0,0,0,252,252,248,0
0,0,0,0,253,0,213,0,0,253,0,254,0,213,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,253,0,0,0,0,253,253,254,226,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,253,0,0,0,0,253,0,0,253,0,254,0,0,0,0,0,0,0,0,0,25,0,253,0,0,0,54,0,0,0,253,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,95,0,0,0,0,0,253,0,54,253,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,124,0,0,0,0,0,0,253,0,187,0
0,0,0,0,0,0,45,0,254,76,0,0,0,0,0,0,0,0,0,0,96,0,0,241,0,0,232,250,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,167,93,0,0,0,250,0,177,0,0,0,0,204,0,0,0,0,0,0,0,253,0,253,0,253,0,0,239,177,0,0,240,0,225,0,0,0,0,234,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,35,176,0,253,65,0,0,0,0,0,0,0,0,31,0,250,0,0,0,0,0,0,0,0,0,0,0,0,213,179,30,0
0,0,0,0,254,0,254,0,5,253,0,106,0,233,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,7,0,0,0,0,215,234,219,0,0,0,0,0,0,0,0,0,95,0,0,0,96,0,0,0,0,0,0,0,0,0,0,47,0,229,34,0,149,0,0,0,0,0,0,0,0,0,0,0,152,0,139,0,253,0,119,0,206,255,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,219,0,0,0,34,47,0,0,254,0,0,0,0,0,0,0,0,0,253,0,254,47,0,0,0,0,0,0,0,0,0,0,255,46,14,0
0,0,0,0,253,0,253,0,0,253,0,253,0,253,0,0,0,0,0,0,0,0,0,156,0,0,253,251,0,0,0,124,0,0,0,0,253,253,253,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,251,231,0,106,0,43,0,0,0,0,0,0,0,220,0,253,0,118,0,253,0,126,0,182,253,0,253,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,154,0,253,0,0,0,253,215,0,38,253,0,0,0,0,0,0,0,0,253,112,0,253,0,0,0,0,0,0,0,0,0,0,0,253,253,253,0
0,0,0,0,183,0,123,0,0,223,0,254,0,252,0,0,0,0,0,0,0,0,0,0,253,0,254,0,0,0,0,253,0,0,0,0,254,253,0,253,0,0,0,0,0,0,0,0,203,0,0,0,183,0,20,0,0,0,0,0,0,0,0,253,0,0,0,0,51,203,0,0,0,0,0,0,0,0,10,0,252,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,62,0,92,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,41,0,102,0
0,0,0,0,68,0,0,0,0,80,0,155,0,253,0,0,0,0,0,0,253,0,0,0,0,0,238,253,0,0,0,253,0,0,0,0,253,230,168,207,0,0,0,0,253,0,0,0,0,0,0,0,253,0,0,0,0,0,239,92,0,0,0,253,0,253,44,0,0,0,0,0,0,0,0,0,0,0,253,0,253,0,146,0,253,0,253,0,70,80,0,0,0,0,0,0,139,0,19,0,0,0,0,0,0,0,0,0,0,0,93,0,0,101,70,247,0,0,0,253,0,253,253,0,0,0,0,0,0,0,0,0,145,0,226,253,0,0,0,0,169,0,0,0,0,0,0,253,0,253,0
0,0,0,0,0,0,98,0,0,143,0,24,0,177,0,0,0,0,0,0,0,0,0,254,0,0,254,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,112,0,0,0,0,0,0,254,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,108,0,254,6,254,0,130,160,0,148,0,0,0,0,19,0,0,0,0,214,0,0,0,0,0,0,0,0,2,0,0,61,0,236,0,0,0,124,108,0,175,254,0,14,0,0,0,0,4,0,166,203,105,254,4,0,0,0,0,0,0,0,0,0,0,254,254,0,0
0,0,0,0,251,0,0,0,0,85,0,254,0,251,0,0,0,0,0,0,0,0,0,0,0,0,254,226,0,0,0,253,0,0,0,0,254,253,253,253,0,0,0,0,0,0,0,0,84,0,0,0,168,0,0,0,0,0,85,0,0,0,0,253,0,197,0,0,0,0,0,0,0,0,0,0,0,0,251,0,251,0,57,0,251,0,85,0,0,253,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,255,196,253,0,0,0,251,0,253,255,254,0,0,0,0,0,0,0,0,253,0,0,253,0,0,0,0,0,0,0,0,0,0,0,251,0,251,0
0,0,0,0,0,0,103,0,81,211,0,0,0,0,0,0,0,0,0,0,253,0,0,162,0,0,249,224,0,0,0,0,0,0,0,0,173,0,242,18,0,0,0,0,135,0,60,0,0,192,0,0,0,0,0,13,0,0,37,253,0,0,0,253,0,253,0,0,0,0,253,0,0,0,0,0,0,0,253,0,253,0,253,0,65,154,253,0,0,178,0,252,0,0,0,0,67,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,227,0,253,0,0,0,253,255,0,250,13,0,0,0,0,0,0,0,0,4,0,216,0,0,0,0,0,0,0,0,0,0,0,0,253,119,128,0
0,0,0,0,253,0,0,0,0,0,0,253,0,214,0,0,0,0,0,0,3,0,0,0,0,0,11,127,0,0,0,54,0,0,0,0,169,252,252,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,218,0,0,0,115,0,0,0,0,91,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,37,0,0,0,244,0,0,0,225,0,0,0,0,0,0,0,0,108,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,253,0
0,0,0,0,138,0,0,0,0,0,0,254,0,254,0,0,0,0,0,0,0,0,0,65,69,0,243,180,0,0,0,254,0,0,0,0,254,244,167,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,10,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,254,0,0,0,92,0,0,0,0,152,0,214,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,254,0,118,228,7,0,0,0,0,0,0,0,0,208,0,0,234,0,0,0,0,0,0,0,0,0,0,0,254,254,223,1
0,0,0,0,254,0,254,0,0,241,0,248,0,255,0,0,0,0,0,0,0,0,0,147,0,0,253,27,0,0,0,0,0,0,0,0,232,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,148,0,0,0,0,0,0,0,0,0,0,0,243,0,66,0,253,0,191,0,0,66,0,238,0,0,0,0,0,0,0,0,0,147,0,0,0,7,0,0,0,0,0,0,0,148,0,253,0,0,0,253,43,0,11,254,0,111,0,0,0,0,0,0,186,253,0,219,196,0,0,0,0,0,0,0,0,0,0,238,227,200,0
0,0,0,0,254,0,254,0,58,254,0,132,0,211,0,0,0,0,0,0,0,0,0,164,0,0,117,0,0,0,0,0,0,0,0,0,131,254,139,0,0,0,0,0,0,0,0,0,135,0,0,0,7,0,0,0,0,0,0,0,0,0,0,254,0,254,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,254,0,127,0,254,254,0,218,0,0,0,0,0,0,0,0,0,60,0,0,0,192,0,26,0,0,0,0,0,0,32,238,0,0,0,85,252,0,0,117,0,0,0,0,0,0,0,0,136,106,0,250,0,0,0,0,0,0,0,0,0,0,0,143,250,22,0
0,0,0,0,253,0,252,0,0,252,0,252,0,252,0,0,0,0,0,0,0,0,0,0,35,0,252,62,0,0,0,0,0,0,0,0,222,252,252,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,175,252,0,253,252,0,0,0,0,0,0,0,0,0,0,119,0,140,0,252,0,145,0,253,252,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,252,0,0,0,253,73,0,120,252,0,41,0,0,0,0,0,0,252,252,0,252,252,0,0,0,0,0,0,0,0,0,0,252,215,252,0
0,0,0,0,102,0,0,0,0,0,0,159,0,254,0,0,0,0,0,0,91,0,0,0,0,0,101,60,0,0,0,253,0,0,0,0,137,247,48,248,0,0,0,0,70,0,0,0,0,0,0,0,142,0,0,0,0,0,253,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,35,0,0,0,0,0,0,152,222,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0
0,0,0,0,253,0,180,0,0,220,0,253,0,253,0,0,0,0,0,0,58,0,0,0,0,0,195,48,0,0,0,19,0,0,0,0,222,253,253,203,0,0,0,0,56,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,133,0,0,0,0,0,0,0,0,152,0,234,0,0,0,21,0,0,0,0,253,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,80,0,0,0,253,0,0,10,253,0,0,0,0,0,0,0,0,73,0,0,158,0,0,0,0,0,0,0,0,0,0,0,19,106,239,0
0,0,0,0,253,0,77,0,0,253,0,254,0,253,0,0,0,0,0,0,0,0,0,0,0,0,253,12,0,0,0,253,0,0,0,0,237,253,244,0,0,0,0,0,0,0,0,0,169,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,167,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,119,0,0,0,226,218,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,23,253,0,0,0,21,0,188,0,253,0,0,0,0,0,0,0,0,0,253,0,253,25,0,0,0,28,0,0,0,0,0,0,254,24,253,0
0,0,0,0,207,0,253,0,0,252,0,255,0,0,0,0,0,0,0,0,0,0,0,0,112,0,252,0,0,0,0,165,0,0,0,0,0,252,16,252,0,0,0,0,0,0,0,0,253,0,0,0,127,0,0,0,0,0,0,0,0,0,0,252,0,0,255,0,253,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,253,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,169,0,0,0,0,0,252,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,253,0,252,0
0,0,0,0,0,0,25,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,254,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,193,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,218,48,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,149,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,254,0,0,0
0,0,0,0,253,0,0,0,0,16,0,253,0,253,0,0,0,0,0,0,0,0,0,110,0,0,251,62,0,0,0,251,0,0,0,0,251,251,251,0,0,0,0,0,0,0,0,0,159,0,0,0,8,0,0,0,0,0,0,0,0,0,0,230,0,205,253,0,0,0,0,0,0,0,0,0,0,0,15,0,156,0,191,0,251,0,32,0,228,251,0,251,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,195,230,251,0,0,0,251,96,27,16,251,0,0,0,0,0,0,0,0,251,32,0,253,0,0,0,0,0,0,0,0,0,0,0,251,251,211,0
0,0,0,0,148,0,0,0,0,0,0,253,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,253,134,227,253,0,0,0,202,0,0,0,0,0,0,0,0,253,0,159,0,0,0,79,0,129,0,0,252,0,241,253,0,0,0,0,0,0,0,0,0,0,0,123,0,253,0,0,0,253,0,208,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,241,0,0,0,253,0,59,217,0,0,0,0,0,0,0,0,0,253,0,33,253,0,0,0,0,253,0,0,0,0,0,0,253,0,253,1
0,0,0,0,253,0,78,0,207,221,0,88,0,253,0,0,0,0,0,0,0,0,0,189,0,0,66,108,0,0,0,99,0,0,0,0,253,247,253,56,0,0,0,0,0,0,0,0,96,2,0,0,35,0,0,6,0,0,0,0,0,0,0,253,0,253,253,0,0,5,0,0,0,0,0,0,0,0,47,0,132,0,254,0,253,115,253,0,253,253,0,253,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,253,254,0,5,66,0,0,0,0,0,0,0,0,253,0,57,253,0,0,0,0,0,0,0,0,0,0,0,253,253,25,0
0,0,0,0,253,0,253,0,0,251,0,243,0,236,0,0,0,0,0,0,0,0,0,0,0,0,253,112,0,0,0,0,0,0,0,0,253,238,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,156,0,0,0,0,0,0,0,0,0,86,0,253,0,0,0,200,0,0,0,0,168,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,253,0,0,0,203,0,0,0,253,0,0,0,0,0,0,0,0,245,14,0,58,0,0,0,0,0,0,0,0,0,0,0,178,247,162,0
0,0,0,0,75,0,105,0,0,241,0,234,0,253,0,0,0,0,0,0,205,0,0,0,0,0,130,253,0,0,0,253,0,0,0,0,253,102,253,253,0,0,0,0,127,0,0,0,0,0,0,0,237,0,0,0,0,0,79,3,0,0,0,253,0,253,164,0,5,0,3,0,0,0,0,0,0,0,242,0,253,0,198,0,253,0,227,0,97,21,0,3,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,104,133,0,0,0,253,0,236,231,0,0,0,0,0,0,0,0,0,8,0,125,253,0,0,0,0,18,0,0,0,0,0,0,253,0,253,0
0,0,0,0,249,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,184,0,0,128,0,0,0,0,0,0,0,253,0,0,253,222,0,0,0,0,0,0,0,0,0,44,0,0,0,253,0,0,67,0,0,0,0,0,0,0,253,0,9,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,253,253,0,198,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,43,72,0,0,208,0,253,0,0,0,0,173,0,0,68,0,26,0,0,0,0,160,0,0,0,0,0,0,75,163,253,0
0,0,0,0,254,0,119,0,0,236,0,254,0,16,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,254,0,0,0,0,106,254,235,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,34,0,0,0,50,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,70,0,0,0,53,0,22,0,214,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,254,0,254,0
0,0,0,0,204,0,254,0,6,254,0,99,0,155,0,0,0,0,0,0,254,0,0,171,0,0,0,254,0,0,0,0,0,0,0,0,76,40,254,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,254,0,0,0,0,4,0,0,0,0,0,0,0,254,0,0,0,210,0,254,0,204,0,0,0,0,109,0,0,0,0,5,0,0,0,0,171,0,0,0,172,0,0,0,0,0,0,0,0,0,186,0,0,0,254,233,0,37,0,0,190,0,0,0,0,0,0,254,254,47,6,254,0,0,0,0,0,0,0,0,0,0,0,254,0,0
0,0,0,0,253,0,253,0,0,253,0,253,0,55,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,73,0,0,0,0,89,253,203,0,0,0,0,0,0,0,0,0,193,0,0,0,96,0,0,0,0,0,0,0,0,0,0,25,0,21,125,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,18,0,212,0,0,0,222,240,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,253,0,0,0,68,3,0,0,253,0,144,0,0,0,0,0,0,0,253,0,242,145,0,0,0,0,0,0,0,0,0,0,254,24,72,0
0,0,0,0,53,0,254,0,0,244,0,59,0,0,0,0,0,0,0,0,0,0,0,9,101,0,107,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,43,0,102,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,222,58,0,0,0,0,0,0,0,254,0,166,0,0,0,0,0,0,0,209,0,5,253,0,0,0,0,0,0,0,0,0,0,0,61,235,0
0,0,0,0,138,0,198,0,0,253,0,254,0,251,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,139,0,0,0,0,169,196,28,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,253,0,57,251,0,85,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,224,0,0,0,253,253,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,253,0,0,0,251,0,0,86,254,0,0,0,0,0,0,0,0,0,168,0,253,0,0,0,0,197,0,0,0,0,0,0,251,251,251,0
0,0,0,0,220,0,0,0,253,0,0,0,0,0,254,0,0,0,0,0,156,0,0,130,0,0,253,223,0,0,0,2,0,0,0,0,53,0,253,0,0,0,0,0,17,0,0,0,47,0,0,0,0,0,0,0,0,0,18,158,0,0,0,47,0,0,0,0,0,0,216,0,0,0,0,0,0,0,253,0,247,0,118,0,0,0,111,0,0,253,0,253,0,0,0,0,0,0,0,0,0,7,0,0,0,21,0,254,0,0,0,0,0,0,99,0,0,0,0,253,218,0,253,244,0,0,0,0,0,0,0,0,135,73,245,0,0,0,0,0,0,0,0,0,0,0,0,183,253,0,0
0,0,0,0,228,0,25,0,0,181,0,253,0,253,0,0,0,0,0,0,0,0,0,0,0,0,252,252,0,0,0,227,0,0,0,0,252,201,252,141,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,249,56,0,0,0,253,0,252,253,0,0,0,129,0,0,0,0,0,0,0,195,0,252,0,226,0,252,0,252,0,252,227,0,181,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,255,0,252,0,0,0,252,0,0,252,126,0,0,0,0,0,0,0,0,252,0,253,253,0,0,0,0,0,0,0,0,0,0,0,252,195,252,0
